index,smiles,name,opsin_smiles,std_original,std_opsin
49641,CC1(C)CC=CC2(C1)OCc1cc(C(=O)O)ccc1O2,"spiro[2,4-dioxabicyclo[4.4.0]deca-1(6),7,9-triene-3,1'-(5,5-dimethylcyclohex-2-ene)]-8-carboxylic acid",,CC1(C)CC=CC2(C1)OCc1cc(C(=O)O)ccc1O2,
49718,COc1cccc(F)c1COc1ccc2c(c1)OCC21CCN(CCC(=O)OC(C)(C)C)CC1,"tert-butyl 3-(4'-(((2-fluoro-6-methoxyphenyl)methyl)oxy)-7-oxaspiro[piperidine-4,9'-bicyclo[4.3.0]nona-1(6),2,4-triene]-1-yl)propanoate",,COc1cccc(F)c1COc1ccc2c(c1)OCC21CCN(CCC(=O)OC(C)(C)C)CC1,
49841,N[C@@H](Cc1ccc(O)cc1)C(=O)OC(O)C1CC[C@H]2C(CC[C@H]3[C@@H]4CCC[C@H]4CC[C@@H]32)C1,"((1R,2S,10S,11R,14S)-gonan-7-yl)(hydroxy)methyl (2S)-2-amino-3-(4-hydroxyphenyl)propanoate",,NC(Cc1ccc(O)cc1)C(=O)OC(O)C1CC[C@H]2C(CC[C@H]3[C@@H]4CCC[C@H]4CC[C@@H]32)C1,
50120,CC(C)(C)N=S=NP(=O)(F)F,N-iminosulfanylidene-2-methylpropan-2-amine,N=NC(C=S)(C)C,CC(C)(C)N=S=NP(=O)(F)F,CC(C)(C=S)N=N
50160,CN1C(=O)N(C)C(=O)C2(Cc3cc(CO)c(CO)cc3C2)C1=O,"1,3-dimethyl-1'-(4-(hydroxymethyl)spiro[1,3-diazacyclohexane-5,8'-bicyclo[4.3.0]nona-1(6),2,4-trien-3-yl)methanol]-2,4,6-trione",,CN1C(=O)N(C)C(=O)C2(Cc3cc(CO)c(CO)cc3C2)C1=O,
50245,CC1(C)OC(=O)C2(Cc3ccc(Cl)cc3N3CCSC[C@@H]32)C(=O)O1,"2,2-dimethyl-13'-chloro-5-thia-2-azaspiro[1,3-dioxane-5,8'-tricyclo[8.4.0.0^{2,7}]tetradeca-1(10),11,13-triene]-4,6-dione",,CC1(C)OC(=O)C2(Cc3ccc(Cl)cc3N3CCSC[C@@H]32)C(=O)O1,
50357,CN(Cc1ccccc1)S(=O)(=O)NCC(O)CO,"3-(benzyl(methyl)sulfamoylamino)propane-1,2-diol",C(C1=CC=CC=C1)N(CC(CO)O)S(NC)(=O)=O,CN(Cc1ccccc1)S(=O)(=O)NCC(O)CO,CNS(=O)(=O)N(Cc1ccccc1)CC(O)CO
50391,CCCCCCOC(=O)C1CCCCC1C(=O)OCCC1CCCCC1,"2-2-cyclohexylethyl 1-hexyl cyclohexane-1,2-dicarboxylate",,CCCCCCOC(=O)C1CCCCC1C(=O)OCCC1CCCCC1,
50426,C=C1[C@H]2CC[C@]3([C@@H](C2)[C@@]24CCC[C@@]5(C)[C@@H]6OCCN6[C@H]2O[C@@H]3C[C@H]54)[C@H]1OC(C)=O,"(1R,2R,4S,9S,10R,14R,15R,17S,19S,23R)-10-methyl-18-methylidene-3,8-dioxa-5-azaheptacyclo[15.2.2.2^{2,14}.0^{10,23}.0^{1,15}.0^{4,14}.0^{5,9}]tricosan-19-yl acetate",C(C)(=O)O[C@H]1C([C@@H]2C[C@H]3[C@]45CCC[C@]6([C@@H]7OCCN7[C@H]4O[C@@H]([C@@]31CC2)[C@@H]6C5)C)=C,C=C1[C@H]2CC[C@]3([C@@H](C2)[C@@]24CCC[C@@]5(C)[C@@H]6OCCN6[C@H]2O[C@@H]3C[C@H]54)[C@H]1OC(C)=O,C=C1[C@H]2CC[C@@]3([C@@H]4O[C@@H]5N6CCO[C@H]6[C@]6(C)CCC[C@@]5(C[C@@H]46)[C@@H]3C2)[C@H]1OC(C)=O
50787,CCCCn1c[n+]([N-]S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cn1,"1-butyl-N-(4-nitrophenylsulfonyl)-1,2,4-triazol-4-ium-4-amine",C(CCC)N1N=C[N+](=C1)NS(=O)(=O)C1=CC=C(C=C1)[N+](=O)[O-],CCCCn1c[n+]([N-]S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cn1,CCCCn1c[n+](NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cn1
50907,CCCCCCCCCC/C=C/CCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC,"2-((((2-methoxy-3-(((7E)-octadec-7-en-1-yl)oxy)propyl)oxy)phosphoryl)oxy)-N,N,N-trimethylethan-1-aminium",,CCCCCCCCCC/C=C/CCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC,
50965,CCC(CO)n1ccc2cc(OCCN3CCC4(CC3)C(=O)Nc3ccc(C#N)cc34)cnc21,"8-oxospiro[7-azabicyclo[4.3.0]nona-1(6),2,4-triene-9,4'-2-(4-((2-(piperidin-1-yl)ethyl)oxy)-2,9-diazabicyclo[4.3.0]nona-1(6),2,4,7-tetraen-9-yl)butane]-1'-ol-3-carbonitrile",,CCC(CO)n1ccc2cc(OCCN3CCC4(CC3)C(=O)Nc3ccc(C#N)cc34)cnc21,
50974,COC(=O)C(=O)Oc1cc(F)c(C)c(F)c1,"2-3,5-difluoro-4-methylphenyl 1-methyl ethanedioate",,COC(=O)C(=O)Oc1cc(F)c(C)c(F)c1,
50976,CCC(N)=N/N=C\C(=C/Cl)CC,,,CCC(=N)N/N=C\C(=C/Cl)CC,
51034,COc1nc2cc(C(=N)N)cc3c2nc1-c1cccc2c(=O)n([nH]c12)CCN1CC[C@@H](C1)O3,,,COc1nc2cc(C(=N)N)cc3c2nc1-c1cccc2c(=O)n([nH]c12)CCN1CC[C@@H](C1)O3,
51093,C=CC(O)(C=C)[C@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3/C[C@@H](O)C[C@H](O)C3=C)CCC[C@]12C,"(1R,3S,5Z)-5-((2E)-2-((1R,6R,7R)-7-((2R,3E,5R)-6-ethenyl-6-hydroxy-5-methylocta-3,7-dien-2-yl)-6-methylbicyclo[4.3.0]nonan-2-ylidene)ethylidene)-4-methylidenecyclohexane-1,3-diol",C(=C)C([C@@H](/C=C/[C@@H](C)[C@@H]1[C@]2(CCC/C(/[C@H]2CC1)=C\C=C\1/C([C@H](C[C@@H](C1)O)O)=C)C)C)(C=C)O,C=CC(O)(C=C)[C@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3/C[C@@H](O)C[C@H](O)C3=C)CCC[C@]12C,C=CC(O)(C=C)[C@H](C)/C=C/[C@@H](C)[C@H]1CC[C@@H]2/C(=C/C=C3/C[C@@H](O)C[C@H](O)C3=C)CCC[C@@]21C
51245,Cc1cc(Cl)cc2c1NC(=O)[C@@]21[C@@H]2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)[C@H]2[C@@H]2CCCN21,"(1S,2R,6R,7R)-4-(3-(trifluoromethyl)phenyl)-3'-chloro-5-methyl-7-azaspiro[4,8-diazatricyclo[6.3.0.0^{2,6}]undecane-7,9'-bicyclo[4.3.0]nona-1,3,5-triene]-8'-one-3,5-dione",,Cc1cc(Cl)cc2c1NC(=O)[C@@]21c2c(c(O)n(-c3cccc(C(F)(F)F)c3)c2O)[C@@H]2CCCN21,
51353,CO[C@H]1c2ccccc2CC12CCN[C@H](Cc1cccc(C#N)c1)C2,"3-(((2R)-7'-methoxyspiro[piperidine-4,8'-bicyclo[4.3.0]nona-1,3,5-triene]-2-yl)methyl)benzonitrile",COC1C2=CC=CC=C2CC12C[C@H](NCC2)CC=2C=C(C#N)C=CC2,CO[C@H]1c2ccccc2CC12CCN[C@H](Cc1cccc(C#N)c1)C2,COC1c2ccccc2CC12CCN[C@H](Cc1cccc(C#N)c1)C2
51363,COC(=O)c1ccccc1[Si@@](C)(c1ccc(Cl)cc1)c1ccccc1C=O,methyl 2-((2-(formyl)phenyl)(4-chlorophenyl)(methyl)silyl)benzoate,C(=O)C1=C(C=CC=C1)[Si](C1=C(C(=O)OC)C=CC=C1)(C)C1=CC=C(C=C1)Cl,COC(=O)c1ccccc1[Si@@](C)(c1ccc(Cl)cc1)c1ccccc1C=O,COC(=O)c1ccccc1[Si](C)(c1ccc(Cl)cc1)c1ccccc1C=O
51500,O=[N+]([O-])c1ccc(/C=N/N=C/c2ccc(OCc3ccccc3)cc2)o1,,,O=[N+]([O-])c1ccc(/C=N/N=C/c2ccc(OCc3ccccc3)cc2)o1,
51685,CC(=O)N1CCC2(C=C(C(=O)Nc3ccc(C)cn3)c3ccccc3O2)CC1,"N-(5-methylpyridin-2-yl)spiro[2-oxabicyclo[4.4.0]deca-1(10),4,6,8-tetraene-3,4'-(1-(piperidin-1-yl)ethane)]-1'-one-5-carboxamide",,CC(=O)N1CCC2(C=C(C(=O)Nc3ccc(C)cn3)c3ccccc3O2)CC1,
51762,c1ccc2c(c1)Cc1c-2ccc2c1Cc1c-2nc2c3cccnc3c3ncccc3n12,,,c1ccc2c(c1)Cc1c-2ccc2c1Cc1c-2nc2c3cccnc3c3ncccc3n12,
51790,CCOC(=O)C1=CN(Cc2ccccc2OC)C2(OC(=O)c3ccccc32)C1=O,"ethyl ((2-methoxyphenyl)methyl)-4-oxo-8'-oxaspiro[4,5-dihydro-1H-pyrrole-5,7'-bicyclo[4.3.0]nona-1,3,5-triene]-9'-one-3-carboxylate",COC1=C(C=CC=C1)CC1=C2C(OC3(C2=CC=C1)C(C(=CN3)C(=O)OCC)=O)=O,CCOC(=O)C1=CN(Cc2ccccc2OC)C2(OC(=O)c3ccccc32)C1=O,CCOC(=O)C1C=NC2(OC(=O)c3c(Cc4ccccc4OC)cccc32)C1=O
51991,CC(C)(Oc1nn(Cc2cccc(Cl)c2)c2ccccc12)C(=O)NCC[S+](C)(=O)[O-],2-((1-((3-chlorophenyl)methyl)-1H-indazol-3-yl)oxy)-2-methyl-N-(2-(methylsulfonyl)ethyl)propanamide,ClC=1C=C(C=CC1)CN1N=C(C2=CC=CC=C12)OC(C(=O)NCCS(=O)(=O)C)(C)C,CC(C)(Oc1nn(Cc2cccc(Cl)c2)c2ccccc12)C(=O)NCC[S+](C)(=O)[O-],CC(C)(Oc1nn(Cc2cccc(Cl)c2)c2ccccc12)C(=O)NCCS(C)(=O)=O
52020,Cc1ccc2c(c1)C1(CCC(N3CCCCC3)CC1)C(=O)N2,"3-methyl-1'-(1cyclohexan-4-yl)spiro[7-azabicyclo[4.3.0]nona-1(6),2,4-triene-9,4'-piperidine]-8-one",,Cc1ccc2c(c1)C1(CCC(N3CCCCC3)CC1)C(=O)N2,
52038,C=S(=O)(NC(=O)OCC)c1cccc(C)c1,ethyl 1-methylidenesulfinylaminomethanoate,,C=S(=O)(NC(=O)OCC)c1cccc(C)c1,
