index,smiles,name,opsin_smiles,std_original,std_opsin
43384,CO[C@H](F)C(=O)N[C@H](CNC(=O)/C=C/c1ccc(SC)s1)C(C)(C)C,"(2E)-N-((2S)-2-((1R)-fluoro(methoxy)methylcarbonylamino)-3,3-dimethylbutyl)-3-(5-(methylsulfanyl)thiophen-2-yl)prop-2-enamide",,COC(F)C(=O)N[C@H](CNC(=O)/C=C/c1ccc(SC)s1)C(C)(C)C,
43392,C#CC[C@H](C)C(=O)N[C@H]1C[C@@](NC(=O)C=CC(=O)NC2CC2)(c2ccccc2)C1,N'-cyclopropyl-N-(3-((2S)-pent-4-yn-2-ylcarbonylamino)-1-phenylcyclobutyl)but-2-enediamide,C1(CC1)NC(C=CC(=O)NC1(CC(C1)NC(=O)[C@@H](C)CC#C)C1=CC=CC=C1)=O,C#CCC(C)C(=O)N[C@H]1C[C@@](NC(=O)C=CC(=O)NC2CC2)(c2ccccc2)C1,C#CCC(C)C(=O)NC1CC(NC(=O)C=CC(=O)NC2CC2)(c2ccccc2)C1
43467,COC(=O)c1no[nH]c1=NC(=O)[C@H](C)C1CCN(C(=O)c2ncccc2Cl)CC1,"methyl 4-(((1R)-1-(1-((3-chloropyridin-2-yl)carbonyl)piperidin-4-yl)propionyl)imino)-1-oxa-2,5-diazacyclopent-2-ene-3-carboxylate",,COC(=O)c1nonc1NC(=O)C(C)C1CCN(C(=O)c2ncccc2Cl)CC1,
43493,CCOC(=O)c1ccc(CNC(=O)[C@@H]2[C@H]3CN(c4nc(C)ncc4F)C[C@H]32)nc1,"ethyl 6-((1R,5S,6R)-3-(5-fluoro-2-methylpyrimidin-4-yl)-3-azabicyclo[3.1.0]hexan-6-ylcarbonylaminomethyl)pyridine-3-carboxylate",,CCOC(=O)c1ccc(CNC(=O)C2[C@H]3CN(c4nc(C)ncc4F)C[C@@H]23)nc1,
43496,C[C@@H]([C@H]1CN(Cc2ccccc2)CCO1)N(C)C(=O)[C@@H]1C[C@H](O)[C@H](O)C1,"(1R,3R,4S)-N-((1S)-1-((2R)-4-benzylmorpholin-2-yl)ethyl)-3,4-dihydroxy-N-methylcyclopentanecarboxamide",,C[C@@H]([C@H]1CN(Cc2ccccc2)CCO1)N(C)C(=O)C1C[C@@H](O)[C@@H](O)C1,
43503,C=C1CC2(C1)CC(C(=O)N1CCCC[C@]13C[C@H](NC(=O)[C@H]1C=CCC1)C3)C2,(1R)-N-(5-((2-methylidenespiro[3.3]heptan-6-yl)carbonyl)-5-azaspiro[3.5]nonan-2-yl)cyclopent-2-ene-1-carboxamide,C=C1CC2(C1)CC(C2)C(=O)N2C1(CC(C1)NC(=O)[C@H]1C=CCC1)CCCC2,C=C1CC2(C1)CC(C(=O)N1CCCC[C@]13C[C@H](NC(=O)C1C=CCC1)C3)C2,C=C1CC2(C1)CC(C(=O)N1CCCCC13CC(NC(=O)C1C=CCC1)C3)C2
43522,CNS(=O)(=O)c1ccc(C(=O)N2C[C@H]3[C@H](CNC(=O)c4ccc(C)nn4)[C@H]3C2)o1,"6-methyl-N-(((1R,5S,6S)-3-((5-(methylsulfamoyl)furan-2-yl)carbonyl)-3-azabicyclo[3.1.0]hexan-6-yl)methyl)pyridazine-3-carboxamide",,CNS(=O)(=O)c1ccc(C(=O)N2C[C@@H]3[C@@H](CNC(=O)c4ccc(C)nn4)[C@@H]3C2)o1,
43524,CC[C@H](C)[C@@H](O)C(=O)Nc1cccc(CNC(=O)[C@H](F)OC(F)(F)F)c1,"(2R,3S)-N-(3-((1S)-fluoro((trifluoromethyl)oxy)methylcarbonylaminomethyl)phenyl)-2-hydroxy-3-methylpentanamide",F[C@@H](C=1C=C(C=CC1)NC([C@@H]([C@H](CC)C)O)=O)NC(=O)COC(F)(F)F,CCC(C)C(O)C(=O)Nc1cccc(CNC(=O)C(F)OC(F)(F)F)c1,CCC(C)C(O)C(=O)Nc1cccc([C@H](F)NC(=O)COC(F)(F)F)c1
43552,CNC(=O)CCCC(=O)N[C@H](CNC(=O)[C@H](O)C1CCCCC1)C(C)C,N'-((2S)-1-((1R)-(cyclohexyl)(hydroxy)methylcarbonylamino)-3-methylbutan-2-yl)-N-methylpentanediamide,,CNC(=O)CCCC(=O)N[C@H](CNC(=O)C(O)C1CCCCC1)C(C)C,
43566,CC(C)n1ccc(C(=O)N2C[C@H]3C[C@@H](C(=O)NCC45CCN(CC4)C5)C[C@H]3C2)n1,"(1R,5S,7R)-N-((1-azabicyclo[2.2.1]heptan-4-yl)methyl)-3-((1-(propan-2-yl)-1H-pyrazol-3-yl)carbonyl)-3-azabicyclo[3.3.0]octane-7-carboxamide",,CC(C)n1ccc(C(=O)N2C[C@H]3CC(C(=O)NCC45CCN(CC4)C5)C[C@H]3C2)n1,
43580,Cc1ccc(C(=O)N2C[C@@H](NC(=O)[C@@H]3[C@H]4[C@@H]5CC[C@@H](C5)[C@H]43)[C@H](C3CC3)C2)c(C)n1,"(1R,2S,3R,4R,5S)-N-((3S,4R)-4-cyclopropyl-1-((2,6-dimethylpyridin-3-yl)carbonyl)pyrrolidin-3-yl)tricyclo[3.2.1.0^{2,4}]octane-3-carboxamide",,Cc1ccc(C(=O)N2C[C@@H](NC(=O)C3[C@@H]4[C@H]5CC[C@H](C5)[C@H]34)[C@H](C3CC3)C2)c(C)n1,
43639,CN1CC[C@H](C(=O)N(C)C[C@H]2[C@@H]3CN(C(=O)COC(=O)CO)C[C@H]23)CC1=O,"2-((1R,5S,6S)-6-((((4S)-1-methyl-2-oxopiperidin-4-ylcarbonyl)(methyl)amino)methyl)-3-azabicyclo[3.1.0]hexan-3-yl)-2-oxoethyl 2-hydroxyacetate",,CN1CCC(C(=O)N(C)C[C@@H]2[C@H]3CN(C(=O)COC(=O)CO)C[C@@H]23)CC1=O,
43663,C=C[C@](C)(O)CC(=O)N[C@H]1C[C@@H]2CC[C@H](C1)N2C(=O)c1scnc1C1CCCC1,"(3R)-N-((1R,3S,5S)-8-((4-cyclopentylthiazol-5-yl)carbonyl)-8-azabicyclo[3.2.1]octan-3-yl)-3-hydroxy-3-methylpent-4-enamide",,C=C[C@](C)(O)CC(=O)N[C@@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1scnc1C1CCCC1,
